,FieldID,Model,Metric,Irrigation
0,NB1,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,81.1826006061105
1,NB1,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-8.564977763389685
2,NB1,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,16.647411076196775
3,NC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,19.756563466352155
4,NC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-6.979695431472089
5,NC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,6.979695431472089
6,NC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,18.678932731823856
7,NC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-7.27272727272728
8,NC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,7.27272727272728
9,NW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,43.858203227225594
10,NW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-6.343781982169308
11,NW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,8.737691967960767
12,NW2,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,68.79273911935095
13,NW2,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-11.683194176714688
14,NW2,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,16.245057026409107
15,NW3,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,68.60159285176604
16,NW3,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,0.7739222658796309
17,NW3,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.489207543519882
18,NW4,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,60.54867138104513
19,NW4,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,4.1448914712431355
20,NW4,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.358085664322903
21,NW5,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,48.87546153062477
22,NW5,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-2.4381731938603566
23,NW5,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,10.91805454076926
24,NW6,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,98.2184418
25,NW6,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,25.430800596223627
26,NW6,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,25.430800596223627
27,NW7,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,98.64223260277987
28,NW7,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-23.705294990860267
29,NW7,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,23.705294990860267
30,SW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,34.79964623847164
31,SW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-1.104641757262968
32,SW1,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,4.985818907544973
33,WC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,117.29234925603632
34,WC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-26.48575553356071
35,WC1,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,26.48575553356071
36,WC11,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,14.903999999999996
37,WC11,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,3.9754177069329737
38,WC11,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,3.9754177069329737
39,WC16,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,0.0
40,WC16,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,0.0
41,WC16,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,0.0
42,WC19,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,19.812000000000012
43,WC19,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-3.8329238329238353
44,WC19,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,3.8329238329238353
45,WC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,40.28199999999998
46,WC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-14.197900732417393
47,WC2,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.197900732417393
48,WC21,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,25.125999999999976
49,WC21,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,6.733918301056474
50,WC21,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,6.733918301056474
51,WC22,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,20.648080621048848
52,WC22,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-5.761194029850746
53,WC22,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,5.7611940298507465
54,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,0.0
55,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,0.0
56,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,0.0
57,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,172.688
58,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,40.662321516030595
59,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,40.662321516030595
60,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,5.684341886080802e-14
61,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,1.7677171219666383e-14
62,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,1.7677171219666383e-14
63,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,0.0
64,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,0.0
65,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,0.0
66,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,39.370000000000005
67,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-10.537049626104691
68,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,10.537049626104691
69,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,33.96495490943573
70,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,2.900275603687674
71,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,8.43914780922656
72,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,41.360000000000014
73,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-14.03746945424926
74,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.03746945424926
75,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,45.56171833897402
76,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,6.652954769324175
77,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,6.652954769324175
78,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,40.874000000000024
79,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,10.510859558623107
80,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,10.510859558623107
