,Unnamed: 0,FieldID,Model,Metric,Yield
0,0.0,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),2.3125208649353906
1,1.0,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),11.022367581336422
2,2.0,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),15.281141664518003
3,3.0,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),4.869756946392815
4,4.0,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),28.055633967083253
5,5.0,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),28.055633967083253
6,6.0,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),6.2666372181633765
7,7.0,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),33.82312697750754
8,8.0,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),33.82312697750754
9,9.0,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),2.71564951608984
10,10.0,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),-18.954171337442148
11,11.0,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),24.43889894097271
12,12.0,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),1.3546128541536753
13,13.0,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),-0.8461411818327702
14,14.0,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),8.784582733608183
15,15.0,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),3.008596906035101
16,16.0,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),-0.5686499227294104
17,17.0,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),17.2505062511954
18,18.0,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),2.686230141133445
19,19.0,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),9.53198341774966
20,20.0,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),16.325412663206897
21,21.0,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),6.07835658954333
22,22.0,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),15.378606594556311
23,23.0,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),35.471297775626915
24,24.0,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),2.59261252316626
25,25.0,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),16.966978907395706
26,26.0,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),16.966978907395706
27,27.0,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE (t/ha),3.8010023517729774
28,28.0,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS (%),11.74700351307296
29,29.0,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE (%),25.15979891290524
0,0.0,NB1,XGBoost Full,RMSE (t/ha),0.509128281937878
1,1.0,NB1,XGBoost Full,PBIAS (%),0.0731009727458363
2,2.0,NB1,XGBoost Full,NMAE (%),4.473556640212738
3,3.0,NC1,XGBoost Full,RMSE (t/ha),0.3456393545489258
4,4.0,NC1,XGBoost Full,PBIAS (%),-1.3917789634787892
5,5.0,NC1,XGBoost Full,NMAE (%),1.5374205686134026
6,6.0,NC2,XGBoost Full,RMSE (t/ha),0.4675985315637324
7,7.0,NC2,XGBoost Full,PBIAS (%),1.7919374655122662
8,8.0,NC2,XGBoost Full,NMAE (%),2.227334409172579
9,9.0,NW1,XGBoost Full,RMSE (t/ha),0.8326693679409565
10,10.0,NW1,XGBoost Full,PBIAS (%),-1.2929419054874438
11,11.0,NW1,XGBoost Full,NMAE (%),6.715143941188742
12,12.0,NW2,XGBoost Full,RMSE (t/ha),0.6683744106940473
13,13.0,NW2,XGBoost Full,PBIAS (%),0.8103777225220674
14,14.0,NW2,XGBoost Full,NMAE (%),4.7968685321070845
15,15.0,NW3,XGBoost Full,RMSE (t/ha),0.6511672977279275
16,16.0,NW3,XGBoost Full,PBIAS (%),-2.0993902169329512
17,17.0,NW3,XGBoost Full,NMAE (%),4.365782685163532
18,18.0,NW4,XGBoost Full,RMSE (t/ha),0.4941480120556203
19,19.0,NW4,XGBoost Full,PBIAS (%),0.5612205915083609
20,20.0,NW4,XGBoost Full,NMAE (%),2.992295550279774
21,21.0,NW5,XGBoost Full,RMSE (t/ha),0.7189527194189387
22,22.0,NW5,XGBoost Full,PBIAS (%),-0.2021039410985226
23,23.0,NW5,XGBoost Full,NMAE (%),4.754558576362242
24,24.0,NW6,XGBoost Full,RMSE (t/ha),0.2656052896929557
25,25.0,NW6,XGBoost Full,PBIAS (%),0.7758664080937461
26,26.0,NW6,XGBoost Full,NMAE (%),1.8057688065282045
27,27.0,NW7,XGBoost Full,RMSE (t/ha),0.5253240044385274
28,28.0,NW7,XGBoost Full,PBIAS (%),1.85618807842372
29,29.0,NW7,XGBoost Full,NMAE (%),3.171606708428209
0,,NB1,XGBoost Leave-One-Field-Out,RMSE (t/ha),1.2129603873181707
1,,NB1,XGBoost Leave-One-Field-Out,PBIAS (%),1.8931629887844663
2,,NB1,XGBoost Leave-One-Field-Out,NMAE (%),10.816323062809136
3,,NC1,XGBoost Leave-One-Field-Out,RMSE (t/ha),0.8923936190580419
4,,NC1,XGBoost Leave-One-Field-Out,PBIAS (%),2.3661716164776183
5,,NC1,XGBoost Leave-One-Field-Out,NMAE (%),4.803108438531912
6,,NC2,XGBoost Leave-One-Field-Out,RMSE (t/ha),1.3115114156192393
7,,NC2,XGBoost Leave-One-Field-Out,PBIAS (%),1.5512646112905508
8,,NC2,XGBoost Leave-One-Field-Out,NMAE (%),7.866479045017448
9,,NW1,XGBoost Leave-One-Field-Out,RMSE (t/ha),1.6826337235941775
10,,NW1,XGBoost Leave-One-Field-Out,PBIAS (%),-6.489955748025862
11,,NW1,XGBoost Leave-One-Field-Out,NMAE (%),14.89389764386867
12,,NW2,XGBoost Leave-One-Field-Out,RMSE (t/ha),2.0005474300962067
13,,NW2,XGBoost Leave-One-Field-Out,PBIAS (%),-1.5433764746066307
14,,NW2,XGBoost Leave-One-Field-Out,NMAE (%),13.611120593673796
15,,NW3,XGBoost Leave-One-Field-Out,RMSE (t/ha),2.1579714798649556
16,,NW3,XGBoost Leave-One-Field-Out,PBIAS (%),-16.055055789699146
17,,NW3,XGBoost Leave-One-Field-Out,NMAE (%),16.287536191115958
18,,NW4,XGBoost Leave-One-Field-Out,RMSE (t/ha),1.1908839551467718
19,,NW4,XGBoost Leave-One-Field-Out,PBIAS (%),1.8478981612152663
20,,NW4,XGBoost Leave-One-Field-Out,NMAE (%),8.13630471722557
21,,NW5,XGBoost Leave-One-Field-Out,RMSE (t/ha),1.6208389903072633
22,,NW5,XGBoost Leave-One-Field-Out,PBIAS (%),1.2195564026643595
23,,NW5,XGBoost Leave-One-Field-Out,NMAE (%),10.397444153828767
24,,NW6,XGBoost Leave-One-Field-Out,RMSE (t/ha),0.8766213073431434
25,,NW6,XGBoost Leave-One-Field-Out,PBIAS (%),5.835447234966973
26,,NW6,XGBoost Leave-One-Field-Out,NMAE (%),5.835447234966972
27,,NW7,XGBoost Leave-One-Field-Out,RMSE (t/ha),2.2591346205883798
28,,NW7,XGBoost Leave-One-Field-Out,PBIAS (%),2.0387458360142903
29,,NW7,XGBoost Leave-One-Field-Out,NMAE (%),14.28561597587077
